industry_code,oty_total_qtrly_wages_pct_chg
6117,972.4000244
61171,972.4000244
611710,972.4000244
6115,301.2000122
61151,301.2000122
611519,301.2000122
81112,265.5
811121,265.5
72,241.3999939
493,205.1000061
4931,205.1000061
49319,205.1000061
493190,205.1000061
6111,194.8999939
61111,194.8999939
611110,194.8999939
52592,143.6999969
525920,143.6999969
524114,121.4000015
3131,106
31311,106
313110,106
483114,103.6999969
541614,103.5999985
213113,103.5999985
541713,100
8114,100
81149,100
811490,100
71212,100
712120,100
21222,95.30000305
212220,95.30000305
92113,80.19999695
921130,80.19999695
325413,78.09999847
81392,77.09999847
813920,77.09999847
325311,76.09999847
2122,74.5
21229,72.30000305
212290,72.30000305
8111,70.59999847
81111,70.59999847
811111,70.59999847
92314,65.5
923140,65.5
811,65.30000305
212322,64.80000305
71321,63.79999924
713210,63.79999924
485999,62.29999924
7212,57.90000153
72121,57.90000153
721211,57.90000153
6113,57.5
61131,57.5
611310,57.5
52411,57
21113,56.59999847
211130,56.59999847
481212,55.20000076
54142,52.70000076
541420,52.70000076
311613,52.29999924
921,51.90000153
9211,51.90000153
48531,50
485310,50
311351,49.5
483112,49.40000153
311423,48.20000076
311919,47.59999847
3343,47.40000153
33431,47.40000153
334310,47.40000153
532282,47.40000153
336412,47.09999847
722511,47.09999847
339113,46.70000076
923,46.09999847
9231,46.09999847
62423,45
624230,45
562219,44.90000153
31191,44.40000153
72233,44.09999847
722330,44.09999847
611699,43.20000076
33241,42.70000076
332410,42.70000076
92314,42.5
923140,42.5
483211,42.29999924
532411,41.70000076
523991,41.59999847
459,41.5
4591,41.5
45911,41.5
459110,41.5
221115,41.40000153
4832,41.40000153
48321,41.40000153
811,40.70000076
335999,39.90000153
52399,39.90000153
541612,39.70000076
481111,39.70000076
331491,39.59999847
4811,39.40000153
48111,39.40000153
61162,39.29999924
611620,39.29999924
621498,39.29999924
6214,39.20000076
62149,39.20000076
621,39.20000076
523999,39.09999847
321918,39
7225,38.90000153
72251,38.90000153
722,38.79999924
32531,38.40000153
541512,38.29999924
482,38.20000076
4821,38.20000076
48211,38.20000076
221114,38
71393,38
713930,38
33149,37.90000153
449,37.79999924
4491,37.79999924
44912,37.79999924
449129,37.79999924
7223,37.59999847
62191,37.59999847
621910,37.59999847
311991,37.59999847
6116,36.59999847
212319,36.5
33312,36.5
333120,36.5
213115,36.20000076
331492,36.09999847
481,36.09999847
332913,35.79999924
6219,35.79999924
72231,35.29999924
722310,35.29999924
61142,34.90000153
611420,34.90000153
2371,34.09999847
23711,34.09999847
237110,34.09999847
42444,34
424440,34
238171,33.90000153
323,33.70000076
3231,33.70000076
32311,33.70000076
323117,33.70000076
311511,33.59999847
623,33.20000076
6231,33.20000076
62311,33.20000076
623110,33.20000076
311824,32.59999847
42314,32.5
423140,32.5
333611,32.40000153
1027,31.70000076
81,31.70000076
6116,31.60000038
61169,31.60000038
1027,31.29999924
81,31.29999924
1025,31
62,31
334112,31
622,30.89999962
6221,30.89999962
62211,30.89999962
622110,30.89999962
8122,30.89999962
81222,30.89999962
812220,30.89999962
812,30.79999924
54137,30.39999962
541370,30.39999962
811121,30.20000076
5419,29.89999962
325612,29.70000076
6211,29.5
62111,29.5
621111,29.5
114112,29
81112,29
56133,29
561330,29
62321,28.89999962
623210,28.89999962
623,28.79999924
6232,28.79999924
56179,28.39999962
561790,28.39999962
333241,28.29999924
336999,28.29999924
335311,28.20000076
339114,28.10000038
312111,27.89999962
33599,27.79999924
42362,27.60000038
423620,27.60000038
31211,27.39999962
6222,27.39999962
62221,27.39999962
622210,27.39999962
8139,26.79999924
312112,26.70000076
32551,26.39999962
325510,26.39999962
236117,26.39999962
61141,26.39999962
611410,26.39999962
325992,26
483212,25.60000038
221121,25.5
92511,25.29999924
925110,25.29999924
561491,25.29999924
331313,25.20000076
5617,24.39999962
339112,24.29999924
321999,24.10000038
72111,24.10000038
721110,24.10000038
92312,24
923120,24
6112,24
61121,24
611210,24
32791,23.79999924
327910,23.79999924
3324,23.70000076
321991,23.70000076
3391,23.70000076
33911,23.70000076
56172,23.60000038
561720,23.60000038
541511,23.60000038
31213,23.5
312130,23.5
21232,23.29999924
33612,23.20000076
336120,23.20000076
92312,23
923120,23
923,22.89999962
9231,22.89999962
621498,22.79999924
4872,22.70000076
48721,22.70000076
487210,22.70000076
562,22.60000038
5621,22.60000038
56211,22.60000038
562111,22.60000038
333248,22.39999962
5417,22.29999924
54171,22.29999924
31151,22.20000076
3121,22
621,21.70000076
562219,21.70000076
5415,21.70000076
54151,21.70000076
312,21.60000038
5241,21.60000038
71391,21.5
713910,21.5
1141,21.39999962
11411,21.39999962
335313,21.39999962
56151,21.39999962
561510,21.39999962
53221,21.29999924
532210,21.29999924
48839,21.29999924
488390,21.29999924
3332,21.29999924
33324,21.29999924
541715,21.29999924
711211,21.10000038
42459,21
424590,21
3115,20.79999924
311911,20.70000076
92313,20.70000076
923130,20.70000076
5615,20.70000076
3117,20.60000038
31171,20.60000038
311710,20.60000038
561599,20.5
8129,20.39999962
81291,20.39999962
812910,20.39999962
92411,20.29999924
924110,20.29999924
5611,20.29999924
56111,20.29999924
561110,20.29999924
336214,20.29999924
56159,20.29999924
312113,20
22131,20
221310,20
7112,19.89999962
71121,19.89999962
221112,19.79999924
32199,19.79999924
445292,19.79999924
61,19.70000076
611,19.70000076
812,19.70000076
7132,19.70000076
32522,19.60000038
325220,19.60000038
3255,19.5
2213,19.5
8111,19.5
54185,19.39999962
541850,19.39999962
924,19.29999924
9241,19.29999924
561613,19.29999924
221113,19.20000076
44423,19.20000076
444230,19.20000076
33993,19.20000076
339930,19.20000076
325412,19.10000038
333243,19.10000038
62149,19.10000038
71329,19
713290,19
6211,18.89999962
62111,18.89999962
62139,18.79999924
621399,18.79999924
56152,18.79999924
561520,18.79999924
111339,18.70000076
334418,18.70000076
324199,18.70000076
337212,18.70000076
31199,18.60000038
42313,18.39999962
423130,18.39999962
33634,18.39999962
336340,18.39999962
813,18.39999962
22111,18.39999962
52511,18.39999962
525110,18.39999962
813,18.39999962
71212,18.29999924
712120,18.29999924
71132,18.20000076
711320,18.20000076
5616,18.20000076
56161,18.20000076
561611,18.20000076
92313,18.20000076
923130,18.20000076
221112,18.20000076
332999,18.20000076
2211,18.10000038
22111,18.10000038
22112,18.10000038
71211,18.10000038
712110,18.10000038
54162,18.10000038
541620,18.10000038
54,18
541,18
32731,18
327310,18
4595,18
45951,18
459510,18
31323,17.89999962
313230,17.89999962
23621,17.89999962
236210,17.89999962
49313,17.79999924
493130,17.79999924
54189,17.79999924
541890,17.79999924
92411,17.79999924
924110,17.79999924
6112,17.70000076
61121,17.70000076
611210,17.70000076
2379,17.60000038
23799,17.60000038
237990,17.60000038
332994,17.60000038
561591,17.60000038
611692,17.5
52591,17.5
525910,17.5
531311,17.5
221122,17.5
2123,17.5
22,17.39999962
221,17.39999962
326191,17.39999962
532289,17.39999962
332811,17.29999924
332216,17.29999924
3254,17.10000038
32541,17.10000038
51229,17.10000038
512290,17.10000038
1029,17.10000038
92311,17.10000038
923110,17.10000038
99,17.10000038
999,17.10000038
9999,17.10000038
99999,17.10000038
999999,17.10000038
4883,17
48831,17
488310,17
42442,17
424420,17
32512,17
325120,17
92,16.79999924
1028,16.79999924
522292,16.79999924
8133,16.79999924
81331,16.79999924
325411,16.70000076
22132,16.60000038
221320,16.60000038
7113,16.60000038
236,16.39999962
2362,16.39999962
23622,16.39999962
236220,16.39999962
32591,16.39999962
325910,16.39999962
3353,16.20000076
33531,16.20000076
48699,16.20000076
486990,16.20000076
4853,16.20000076
3322,16.10000038
33221,16.10000038
92612,16.10000038
926120,16.10000038
811122,16.10000038
92211,16
922110,16
72,16
333914,16
333996,15.89999962
48819,15.89999962
488190,15.89999962
4855,15.80000019
48551,15.80000019
485510,15.80000019
336611,15.80000019
238222,15.80000019
334516,15.69999981
33142,15.69999981
331420,15.69999981
71131,15.69999981
711310,15.69999981
711212,15.60000038
8131,15.60000038
81311,15.60000038
813110,15.60000038
23817,15.60000038
212,15.60000038
92119,15.5
921190,15.5
332618,15.5
56161,15.5
56145,15.39999962
561450,15.39999962
332431,15.39999962
334517,15.39999962
33391,15.39999962
92614,15.39999962
926140,15.39999962
2362,15.30000019
238352,15.30000019
3362,15.30000019
33621,15.30000019
561612,15.30000019
333912,15.19999981
32711,15.10000038
327110,15.10000038
11234,15.10000038
112340,15.10000038
5322,15.10000038
541715,15
54199,15
541990,15
6114,15
1022,15
51,15
519,15
5192,15
51921,15
519210,15
42333,15
423330,15
456199,14.89999962
332323,14.89999962
238212,14.89999962
42399,14.80000019
423990,14.80000019
33635,14.80000019
336350,14.80000019
5614,14.80000019
56149,14.80000019
561499,14.80000019
11231,14.69999981
112310,14.69999981
53112,14.69999981
531120,14.69999981
337214,14.69999981
485111,14.69999981
321912,14.69999981
334512,14.69999981
62141,14.69999981
621410,14.69999981
611691,14.60000038
53228,14.60000038
3366,14.60000038
33661,14.60000038
42321,14.60000038
423210,14.60000038
3372,14.5
33721,14.5
33591,14.39999962
335910,14.39999962
31182,14.39999962
311111,14.39999962
62411,14.39999962
624110,14.39999962
622,14.39999962
925,14.30000019
9251,14.30000019
21221,14.30000019
212210,14.30000019
92214,14.30000019
